Name,Status,Priority Level,Drop,Info,Manufacturer,Expected Delivery,Price Per Unit,Bulk Price,MOQ,Quantity To Order,Type
SEWN IN JEWELRY IN JERSEY JACKET WITH PATTERN,Concept,FOCUS,,,,,,,,,JACKET
WOMENS TIGHTS,Concept,FOCUS,,more designs i need to come up with,,,,,,,ACCESSORIES
FAT FUR CARPET,Concept,FOCUS,,,,,,,,,HOME
MAKE UP BAG,Concept,FOCUS,,,,,,,,,COSMETICS
BLACK THIGHS THIN EMBROIDERY ON THE SIDE,Concept,FOCUS,,beautiful mesh or lace tights sexy for women with emboridered script design on the side,,,,,,,ACCESSORIES
2PIECE SCARVES FOR LOVERS,Concept,FOCUS,,big huge scarves made for couples or 2 ppl to be worn by two of them at the same time,,,,,,,ACCESSORIES
MODEL HOODIE BLANK,Techpack In Progress,FOCUS,,"FIRST UK SAMPLE FUCKED UP

make the perfect hoodie blank, heavy and high quality but super soft feel. so i think brushed? 400+ gsm or more. egyptian cotton. the perfect hoodie blank “MODEL HOODIE” will then be used to put designs on it and make all olivine hoodies",,,,,50,,HOODIE
MINI SKIRTS,Concept,FOCUS,,VELVET MINI,,,,,,,BOTTOM
WINTER JACKET WITH 4+ REPLACABLE HOODS,Concept,FOCUS,,,,,,,,,JACKET
MATCH METAL BOX ENGRAVED,Concept,HIGH,,,,,,,,,ACCESSORIES
PLUSHIES COLLECTION WITH MAX,Concept,HIGH,,plushies toys collection,,,,,,,ACCESSORIES
LIPSTICK SILVER STAND,Concept,HIGH,,,,,,,,,COSMETICS
METAL LICENSE PLATE HOLDER,Concept,HIGH,,"license palte holder for cars, probably like eu friendly ? ",,,,,,,ACCESSORIES
GIFT WRAPPING,Concept,HIGH,,,,,,,,,HOME
CERAMIC ANIMALS DECORATIONS,Concept,HIGH,,,,,,,,,HOME
BIG 3D EMBROIDERY HOODIE,Concept,HIGH,,https://fr.pinterest.com/pin/633387443748340/,,,,,,,HOODIE
BIG PATCH HOODIE,Concept,HIGH,,"https://fr.pinterest.com/pin/125256433379977421/

BIG EMBROIDERED PATCH DESIGN ,DETAILED EXPENSIVE EMBROIDERY, MULTI LAYERED POSSIBLY",,,,,,,HOODIE
LONG PHRASE FRIDGE MAGNET,Concept,HIGH,,script font?,,,,,,,HOME
FAT FUR SNAKE FOR BED,Concept,HIGH,,,,,,,,,HOME
FAT FUR BED COVER,Concept,HIGH,,,,,,,,,HOME
COCAINE PLASTIC BAGS,Concept,HIGH,,,,,,,,,MISC
MONEY CLIP,Concept,HIGH,,,,,,,,,MISC
LEATHER DUFFLE BAG,Concept,HIGH,,beautiful leather travel duffel bag think lv keepall,,,,,,,BAGS
WATERPROOF DUFFLE BAG,Concept,HIGH,,"duffle bag out of waterproof material, metal hardware, highquality etc",,,,,,,BAGS
