Name,Bulk Price,Drop,Expected Delivery,Info,MOQ,Manufacturer,Price Per Unit,Priority Level,Quantity To Order,Status,Type
TIGHT SLEEP WHITE TEES,,,,tight stretchy SUPER comfy cozy shirts. longsleeves and shortsleeves. silhouette based. ribbed soft durable cotton,,,,MEDIUM,,Concept,SHIRT
MAKE UP PRINT TEE,,,,"white tee, make up stain graphic",,,,HIGH,,Concept,SHIRT
LAVENDER LONGSLEEVE,,,,"pattern longsleeve violet and white lines

egyptian cotton two twenty thread",,,,MEDIUM,,Techpack In Progress,SHIRT
SELENE LONGSLEEVE,,,,pattern longsleeve all white ribbed fabric,,,,MEDIUM,,Techpack In Progress,SHIRT
THIRD PART TO LONGSLEEVES,,,,third part to longsleeves have to cmoe up with design,,,,MEDIUM,,Concept,SHIRT
MINI METAL LOGO HOODIE,,,,"mini metal logo hardware on the sleeve/shoulder? ",,,,LOW,,Concept,HOODIE
HENLEY NECK HOODIE,,,,HOODIE BUT WITH A HENLEY NECK CONSTRUCTION DERIVED FROM MODEL HOODIE,,,,HIGH,,Concept,HOODIE
FUR INSIDE ZIP HOODIE/HOODIE,,,,zip hoodie with fur inside,,,,LOW,,Concept,HOODIE
2LAYERED BURBERRY TYPE ZIP UPS,,,,"ZIP UPS WITH INTERESTING FIRE PATTERN INSIDE AND SIMPLE DESIGN OUTSIDE

POSSIBLY REVERSIBLE",,,,MEDIUM,,Concept,HOODIE
2LAYERED SWEATSUIT SETS,,,,WHITE TIGHT SOFT COTTON THINK TANK TOPS LAYER UNDER A SOFT COMFY HOME COZY HEATHER GRAY SWEATSUIT. DOUBLE LAYERED BASICALLY,,,,MEDIUM,,Concept,HOODIE
MAYBELLINE WINTER JACKET,,,,BEAUTY IN LAYERS AND POCKETS,,,,MEDIUM,,Concept,JACKET
WINTER JACKET WITH 4+ REPLACABLE HOODS,,,,,,,,FOCUS,,Concept,JACKET
MINK COAT JACKET,,,,,,,,MEDIUM,,Concept,JACKET
BLOODY DENIM,,,,graphic resembling real blood like someone was stabbed or was helping someone very realistic,,,,HIGH,,Concept,BOTTOM
BABY CORDUROY SKIRT,,,,long skirt baby corduroy,,,,LOW,,Concept,BOTTOM
MINI SKIRTS,,,,VELVET MINI,,,,FOCUS,,Concept,BOTTOM
RIPPED DENIM EMBROIDERED LETTERS STRINGS/RIPS,,,,basic denim pants with rips but embroidered words and letters on the rips,,,,MEDIUM,,Concept,BOTTOM
SEXY MESH BODYSUIT &DIFF MATERIALS,,,,"mesh and beautiful lace designs, sexy think agent provocateur",,,,HIGH,,Concept,FULLBODY
WHITE RIBBED BATH ROBE,,,,think luxury materials. ritz hotel quality,,,,MEDIUM,,Concept,FULLBODY
MEZZANINE PASSPORT HOLDER,,,,"leather passport holder with rhinestones details preferably swarovski zircons outside and inside and metal hardware logos and print inside , tehcpack almost finished even have quotes from factories.",,,,HIGH,,Techpack In Progress,ACCESSORIES
SCATTER LETTERS BELT,,,,leather belt with metal hardware letters scattered throughought the belt,,,,HIGH,,Concept,ACCESSORIES
MODEL HOODIE BLANK,,,,"FIRST UK SAMPLE FUCKED UP

make the perfect hoodie blank, heavy and high quality but super soft feel. so i think brushed? 400+ gsm or more. egyptian cotton. the perfect hoodie blank “MODEL HOODIE” will then be used to put designs on it and make all olivine hoodies",50,,,FOCUS,,Techpack In Progress,HOODIE
2PIECE SCARVES FOR LOVERS,,,,big huge scarves made for couples or 2 ppl to be worn by two of them at the same time,,,,FOCUS,,Concept,ACCESSORIES
BELTS FOR HER,,,,womens belts need ot come up with desings,,,,LOW,,Concept,ACCESSORIES
BLACK THIGHS THIN EMBROIDERY ON THE SIDE,,,,beautiful mesh or lace tights sexy for women with emboridered script design on the side,,,,FOCUS,,Concept,ACCESSORIES
ANKLET,,,,dont know yet,,,,LOW,,Concept,JEWELRY
WATERPROOF DUFFLE BAG,,,,"duffle bag out of waterproof material, metal hardware, highquality etc",,,,HIGH,,Concept,BAGS
LEATHER DUFFLE BAG,,,,beautiful leather travel duffel bag think lv keepall,,,,HIGH,,Concept,BAGS
FUR DUFFLE BAG,,,,duffle bag made out of fur? beauitful metal hardware,,,,MEDIUM,,Concept,BAGS
HAIR CLIPS,,,,bow hair clip? logo hair clip? letter hair clip?,,,,MEDIUM,,Concept,ACCESSORIES
HAIR BRUSH COVER &HAIR BRUSH,,,,,,,,LOW,,Concept,COSMETICS
MAKE UP BAG,,,,,,,,FOCUS,,Concept,COSMETICS
MENS TRAVEL COSMETICS BAG,,,,,,,,MEDIUM,,Concept,COSMETICS
MONEY CLIP,,,,,,,,HIGH,,Concept,MISC
CUTLERY SET &WOODEN BOX PACKAGING,,,,,,,,MEDIUM,,Concept,HOME
MACBOOK COVERS FIRE MATERIAL,,,,,,,,MEDIUM,,Concept,MISC
PLUSH BAG CHARMS,,,,,,,,LOW,,Concept,MISC
COCAINE PLASTIC BAGS,,,,,,,,HIGH,,Concept,MISC
CONDOMS,,,,,,,,MEDIUM,,Concept,COSMETICS
CRYSTAL WHISKEY GLASS,,,,,,,,LOW,,Concept,HOME
CHESS SET,,,,,,,,MEDIUM,,Concept,HOME
OLIVINE PILLOW LETTERS SET,,,,,,,,MEDIUM,,Concept,HOME
ASHTRAY,,,,,,,,LOW,,Concept,HOME
PAPER TOWELS,,,,,,,,MEDIUM,,Concept,HOME
FAT FUR CARPET,,,,,,,,FOCUS,,Concept,HOME
FAT FUR BED COVER,,,,,,,,HIGH,,Concept,HOME
FAT FUR SNAKE FOR BED,,,,,,,,HIGH,,Concept,HOME
ESPRESSO CUPS OR A SET,,,,,,,,MEDIUM,,Concept,HOME
